username,full_name,role,district,staff_id,vehicle,phone
DMS-PL-01,Mohamed Kamara,DMS Staff,Port Loko,SL-DMS-PL-01,,076111222
DMS-PL-02,Fatima Koroma,DMS Staff,Port Loko,SL-DMS-PL-02,,076111223
DMS-BN-01,Ibrahim Bangura,DMS Staff,Bonthe,SL-DMS-BN-01,,076444101
DMS-KD-01,Mariama Sesay,DMS Staff,Koinadugu,SL-DMS-KD-01,,076444102
DMS-PJ-01,Alhaji Conteh,DMS Staff,Pujehun,SL-DMS-PJ-01,,076444103
CNV-PL-01,Abdul Conteh,Conveyor,Port Loko,,ABC-123,076123456
CNV-PL-02,Lansana Turay,Conveyor,Port Loko,,DEF-456,076123457
CNV-BN-01,Sorie Kamara,Conveyor,Bonthe,,GHI-789,076234567
CNV-KD-01,Aminata Kanu,Conveyor,Koinadugu,,JKL-012,076345678
CNV-PJ-01,Bockarie Koroma,Conveyor,Pujehun,,MNO-345,076456789
